model,mae,rmse,r2,training_seconds
hist_gradient_boosting,675.030973703722,950.5476905303378,0.40638949275021885,0.9913750420091674
random_forest,740.3675210998595,1042.6235605907793,0.285818120607059,0.1981355840107426
baseline_mean,950.3875490875491,1362.4198114428616,-0.21948274045193528,0.0
ridge,2294.0463235389393,2655.6545504907904,-3.6333693304385637,0.0017896660137921572
linear_regression,2989.772719662016,3512.801493757941,-7.107014972999194,0.0030510420037899166
